,compound,created at,negative,neutral,positive,screen_name,text
179,0.4404,2018-03-04 08:05:26+00:00,0.0,0.884,0.116,CBS,"RT @thegoodfight: It feels good to be back. ??? The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…"
180,0.0,2018-03-03 20:55:20+00:00,0.0,1.0,0.0,CBS,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…"
181,0.7096,2018-03-02 22:30:01+00:00,0.0,0.753,0.247,CBS,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes"
182,0.7096,2018-03-02 20:30:01+00:00,0.0,0.718,0.282,CBS,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3"
183,0.4939,2018-03-02 18:45:00+00:00,0.0,0.849,0.151,CBS,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO"
184,-0.6981,2018-03-01 18:59:01+00:00,0.21,0.79,0.0,CBS,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY
185,0.4547,2018-03-01 18:12:57+00:00,0.092,0.749,0.159,CBS,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…"
186,0.8591,2018-03-01 18:11:50+00:00,0.0,0.462,0.538,CBS,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF
187,0.4885,2018-03-01 18:10:50+00:00,0.151,0.615,0.234,CBS,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…
188,0.5994,2018-03-01 14:36:21+00:00,0.0,0.822,0.178,CBS,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…"
189,0.7717,2018-03-01 14:29:20+00:00,0.0,0.675,0.325,CBS,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…"
